node_id,node_name,model,skill,source_url,list_page_url,detail_url,company_name,main_products,fit_export,quality_system,region,contact_action,status,error_message
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=80308,日马精密锻压有限公司,汽车减震器配件、安全部品、车载摄像头部品（ADAS）,"三资 供应商入口 日马精密锻压有限公司 RIMA Precision Forming CO.,Ltd. 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 减振器 安全带 摄像头 质量体系 16949系列 ISO9000系列 VDA认证 ISO14000 联系我们 联系人： 段立强 职务：","16949系列,ISO9000系列,VDA认证,ISO14000",天津,段立强 职务： 营业 手机： 15902245871 Email： liqiang_duan@hzrima.com 网址： www.rimapf.com 地址： 天津西青区中北工业园南园红霞路3号 --> --> 企业介绍 MORE > 日,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=73180,北京净油洁宝科技有限公司,环保水基弱碱型脱脂剂,三资 供应商入口 北京净油洁宝科技有限公司 BEIJING JINGYOU JIEBAO TECHNOLOGY CO.，LTD 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 清洁美容护理用品 质量体系 ISO9000系列 ISO14000 ISO45001 联系我们 联系人： 王飞 手,三体系认证,北京,王飞 手机： 13701050719 Email： jingyoujiebao@163.com 网址： www.bjjyjb.com 地址： 北京市怀柔区雁栖经济开发区雁栖大街13号 --> --> 企业介绍 MORE > 北京净油洁宝科技,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=47626,武汉元丰汽车电控系统股份有限公司,液压ABS系统、液压ESC系统、EHB系统、气压制动系统、EPB系统、iTPMS系统、ADAS系统,"三资 供应商入口 武汉元丰汽车电控系统股份有限公司 Wuhan Yuanfeng Automotive Electronic Control System Co., Ltd 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 防抱死制动系统（ABS） 传感器 辅助驾驶 质量体系 16949系",IATF 16949、高新技术企业,湖北,027-81889177 Email： zqb@youfinec.com 网址： www.youfinec.com 地址： 武汉市东湖开发区光谷大道299号 --> --> 企业介绍 MORE > 武汉元丰汽车电控系统股份有限公司 武汉元丰,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=50722,宁德时代新能源科技股份有限公司,动力电池、智能电池管理系统（BMS）、储能电池，电池回收,"三资 供应商入口 宁德时代新能源科技股份有限公司 Ningde Times New Energy Technology Co., Ltd 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 动力电池 质量体系 16949系列 ISO9000系列 ISO14000 OHSAS18001 联系我",ISO 45001、ISO 27001、ISO 50001、IATF 16949、ISO 9001、高新技术企业,福建,0593-2583668 Email： chenyl2@catlbattery.com 网址： www.catl.com 地址： 福建省宁德市蕉城区漳湾镇新港路2号 --> --> 企业介绍 MORE > 宁德时代新能源科技股份有限公司 宁,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=50350,特来电新能源股份有限公司,新能源汽车充电网的建设、运营及互联网的增值服务,"三资 供应商入口 特来电新能源股份有限公司 TeDian New Energy Co., Ltd 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 充电机 工业机器人 质量体系 ISO9000系列 ISO14000 OHSAS18001 联系我们 电话： 4001300001 Email：",ISO 45001,山东,4001300001 Email： service@teld.cn 网址： www.teld.cn 地址： 山东省青岛市崂山区松岭路336号8层808室 --> --> 企业介绍 MORE > 特来电新能源股份有限公司 特来电是中国创业板第,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=47556,铁将军汽车电子股份有限公司,提供智能车身域控制器(BDC)及周边件，智能/蓝牙/超宽带(UWB)数字钥匙系统、驾驶辅助系统（TPMS/RPA/AVAS）等产品与服务,"三资 供应商入口 铁将军汽车电子股份有限公司 Iron General Automotive Electronics Co., Ltd 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 传感器 汽车音响及多媒体 其他汽车电器件 车身域 辅助驾驶 V2X及车联网 其他车联网相关产品 质量体系",IATF 16949、高新技术企业,广东,0760-22780284、22780771、22780266 Email： oem@steel-mate.net、info@steel-mate.com 网址： www.steel-mate.com 地址： 广东省中山市东凤镇东阜路和平大,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=50124,东睦新材料集团股份有限公司,以粉末压制成形（P&S）、软磁复合材料（SMC）、金属注射成形（MIM）三大新材料技术平台为基石，为新能源和高端制造提供粉末冶金新材料核心零部件，覆盖新能源、汽车等领域（变速...,"三资 供应商入口 东睦新材料集团股份有限公司 Dongmu New Materials Group Co., Ltd 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 气门及气门组件 凸轮轴 变速器其他配件 减振器 转向泵 轴承和轴套 发动机齿轮及带轮 质量体系 联系我们 电话： 0574",IATF 16949、高新技术企业,浙江,0574-87399810、87886179 Email： tangym@pm-china.com 网址： www.pm-china.com 地址： 浙江省宁波市鄞州工业园区景江路1508号 --> --> 企业介绍 MORE > 东睦新材,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=50837,广州小鹏汽车科技有限公司,超长续航智能SUV——小鹏G3及超长续航智能轿跑——小鹏P7；纯电动轿车：P7i、P7、P5;纯电动SUV:G9、G6、G3i；2023年销量为141601辆,"三资 供应商入口 广州小鹏汽车科技有限公司 Guangzhou Xiaopeng Automotive Technology Co., Ltd 收藏企业 首页 | 公司简介 | 重点产品 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 纯电动乘用车 质量体系 联系我们 电话： 4008193388 Email： zhoujl@xiaopeng.","ISO 9001、ISO 45001,高新技术企业",广东,4008193388 Email： zhoujl@xiaopeng.com 网址： www.xiaopeng.com 地址： 广州市天河区岑村松岗大街8号 --> --> 企业介绍 MORE > 广州小鹏汽车科技有限公司 小鹏汽车2014年,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=68176,上海映赛电子科技有限公司,汽车电子后视镜,三资 供应商入口 上海映赛电子科技有限公司 INSIGHTEK 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 质量体系 联系我们 联系人： 胡 手机： 18017502690 Email： huwenjin@insigh-tek.com 地址： 上海市松江区广富林东路199号2幢302,,上海,胡 手机： 18017502690 Email： huwenjin@insigh-tek.com 地址： 上海市松江区广富林东路199号2幢302室-1 --> --> 企业介绍 MORE > 上海映赛电子科技有限公司 我们的核心团队成员全,success,
1649,动力总成系统,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/parts.php?cid=4,https://www.qcgys.com/company.php?mid=67448,北油电控燃油喷射系统（天津）有限公司,燃油喷射系统（高压共轨系统）、非燃油产品（精密机加及热处理）、新燃料喷射产品,三资 供应商入口 北油电控燃油喷射系统（天津）有限公司 收藏企业 首页 | 公司简介 | 重点产品 | 配套情况 | 出口情况 | 企业证书 | 公司视频 | 公司新闻 | 联系我们 | 在线反馈 --> 重点产品 燃油泵及喷油器 电喷系统 其他发动机配件 其他转向零件 质量体系 16949系列 ISO14000 OHSAS18001 联系我们 联系人： 周灵彤 手机： 18002036653 E,国家专精特新小巨人企业认证、天津市企业技术中心认证、天津市科技领军企业认证等,天津,周灵彤 手机： 18002036653 Email： zhoulingtong@byctj.com 网址： www.byctj.xom 地址： 天津市武清区汽车产业园毓龙路2号 --> --> 企业介绍 MORE > 北油电控燃油喷射系统（,success,
